ID,Title,Tier,Severity,Methodology,Component,Category,DREAD,DREAD Tier,Cross-boundary,ATT&CK ID,ATT&CK Tactic,SOC2,ISO27001,PCI-DSS,Description
t_e0a680a6,Manual step — define threat actors & TTPs,Standard check,Info,PASTA,Database,Stage 4 — Threat Analysis,10/50,Low,No,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,PASTA Stage 4 requires profiling plausible adversaries and their techniques. The tool does NOT infer threat actors: map actor tiers (script-kiddie → nation-state) and relevant MITRE ATT&CK TTPs to your surfaces.
t_2d071b02,"Partial — review STRIDE/OWASP findings, then add testing",Standard check,Info,PASTA,Database,Stage 5 — Vulnerability Analysis,10/50,Low,No,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,"PASTA Stage 5 correlates weaknesses. The STRIDE and OWASP findings in this report are a starting point, but the tool does NOT run SAST/DAST: add dynamic and static testing results to complete the picture."
t_8faccb04,Manual step — build attack trees,Standard check,Info,PASTA,Database,Stage 6 — Attack Modeling,10/50,Low,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,PASTA Stage 6 requires constructing attack trees. The tool does NOT generate attack trees: model plausible kill-chains (e.g. phish → token theft → admin) for the highest-risk flows and rank them by likelihood × impact.
t_104c7079,"Partial — use severity/DREAD scores, then assign risk owners",Standard check,Info,PASTA,Database,Stage 7 — Risk & Impact Analysis,10/50,Low,No,T1552,Credential Access,CC6.1,A.8.2.3,3.4,"PASTA Stage 7 quantifies and prioritizes risk. The tool provides severity and DREAD scores per threat as inputs, but does NOT record risk decisions: track each risk to an explicit accept/mitigate/transfer/avoid decision with an owner."
t_f96b6be4,Manual step — map business impact & asset owners,Standard check,Info,PASTA,REST API,Stage 1 — Business Objectives,14/50,Low,No,T1190,Initial Access,CC7.1,A.14.2.1,6.2.4,"PASTA Stage 1 requires defining business objectives and impact tiers. The tool does NOT determine this automatically: assign an owner and a business-impact tier to each component, and record revenue/regulatory exposure."
t_44310cdc,Manual step — enumerate dependencies & run SCA,Standard check,Info,PASTA,REST API,Stage 2 — Technical Scope,14/50,Low,No,T1190,Initial Access,CC7.1,A.14.2.1,6.2.4,PASTA Stage 2 requires a dependency/SBOM inventory and CVE analysis. The tool does NOT scan dependencies: run SCA (e.g. dependabot/trivy) and attach the SBOM to complete this stage.
t_7cbabe94,Auto-derived — review decomposition & boundary crossings,Standard check,Info,PASTA,REST API,Stage 3 — Application Decomposition,14/50,Low,No,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,"PASTA Stage 3 is automated by this tool: see the generated DFD, the inferred trust boundaries, and the per-flow cross-boundary findings. Review them and confirm every entry point and trust boundary is correct."
t_ff62d00b,Manual step — define threat actors & TTPs,Standard check,Info,PASTA,REST API,Stage 4 — Threat Analysis,14/50,Low,No,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,PASTA Stage 4 requires profiling plausible adversaries and their techniques. The tool does NOT infer threat actors: map actor tiers (script-kiddie → nation-state) and relevant MITRE ATT&CK TTPs to your surfaces.
t_0d467262,"Partial — review STRIDE/OWASP findings, then add testing",Standard check,Info,PASTA,REST API,Stage 5 — Vulnerability Analysis,14/50,Low,No,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,"PASTA Stage 5 correlates weaknesses. The STRIDE and OWASP findings in this report are a starting point, but the tool does NOT run SAST/DAST: add dynamic and static testing results to complete the picture."
t_900b4349,Manual step — build attack trees,Standard check,Info,PASTA,REST API,Stage 6 — Attack Modeling,14/50,Low,No,T1190,Initial Access,CC7.1,A.14.2.1,6.2.4,PASTA Stage 6 requires constructing attack trees. The tool does NOT generate attack trees: model plausible kill-chains (e.g. phish → token theft → admin) for the highest-risk flows and rank them by likelihood × impact.
t_1aa6323a,"Partial — use severity/DREAD scores, then assign risk owners",Standard check,Info,PASTA,REST API,Stage 7 — Risk & Impact Analysis,14/50,Low,No,T1190,Initial Access,CC7.1,A.14.2.1,6.2.4,"PASTA Stage 7 quantifies and prioritizes risk. The tool provides severity and DREAD scores per threat as inputs, but does NOT record risk decisions: track each risk to an explicit accept/mitigate/transfer/avoid decision with an owner."
t_4e9df6f5,Manual step — map business impact & asset owners,Standard check,Info,PASTA,User,Stage 1 — Business Objectives,12/50,Low,No,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,"PASTA Stage 1 requires defining business objectives and impact tiers. The tool does NOT determine this automatically: assign an owner and a business-impact tier to each component, and record revenue/regulatory exposure."
t_19053aaa,Manual step — enumerate dependencies & run SCA,Standard check,Info,PASTA,User,Stage 2 — Technical Scope,12/50,Low,No,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,PASTA Stage 2 requires a dependency/SBOM inventory and CVE analysis. The tool does NOT scan dependencies: run SCA (e.g. dependabot/trivy) and attach the SBOM to complete this stage.
t_d235ea0b,Manual step — define threat actors & TTPs,Standard check,Info,PASTA,User,Stage 4 — Threat Analysis,12/50,Low,No,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,PASTA Stage 4 requires profiling plausible adversaries and their techniques. The tool does NOT infer threat actors: map actor tiers (script-kiddie → nation-state) and relevant MITRE ATT&CK TTPs to your surfaces.
t_f83510d3,Manual step — build attack trees,Standard check,Info,PASTA,User,Stage 6 — Attack Modeling,12/50,Low,No,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,PASTA Stage 6 requires constructing attack trees. The tool does NOT generate attack trees: model plausible kill-chains (e.g. phish → token theft → admin) for the highest-risk flows and rank them by likelihood × impact.
t_b601b35c,"Partial — use severity/DREAD scores, then assign risk owners",Standard check,Info,PASTA,User,Stage 7 — Risk & Impact Analysis,12/50,Low,No,T1562,Defense Evasion,CC7.1,A.14.2.1,6.2.4,"PASTA Stage 7 quantifies and prioritizes risk. The tool provides severity and DREAD scores per threat as inputs, but does NOT record risk decisions: track each risk to an explicit accept/mitigate/transfer/avoid decision with an owner."
